-0.27,-0.49,-1.07,0.089,0.089,-0.039,-0.039,0.627,-1.106,-38,-1.7,-1.71,-0.57,-2.044,-1.13,-0.26,0,50,-1.38,3.31,0.01,-1.78,-1.69,-1.52,-1.53,2.077,1010.4,-1.34,-2.91,-1.69,-11.37,3,1433,0.73,-0.36,0.445,26,0.15,-0.3,-1.36
-0.36,-0.49,-1.26,0.087,0.087,-0.111,-0.111,-0.008,-0.62,82,-1.43,-1.43,-1.8,-1.034,-0.02,-0.02,0,85,-1.09,0.82,-0.78,-1.38,-1.42,-0.84,-1.8,3.091,1008.13,-1.16,-1.13,-0.06,-10.63,-19,1378,0.39,-0.37,0.382,27,0.12,-0.96,-0.38
-0.38,-0.46,0.72,0.085,0.085,-0.136,-0.136,0.555,-0.23,81,-1.29,-1.3,-2.5,-1.597,-1.87,-0.21,0,15,-1.1,1.61,0.65,-1.9,-1.54,-1.14,-1.73,1.923,1015.49,-1.18,-1.2,-0.23,-8.19,-33,1643,0.23,-0.11,0.311,28,-0.17,-1.93,-0.5
-0.41,-0.35,1.05,0.083,0.083,-0.064,-0.064,0.072,-0.279,-26,-1.22,-1.24,1.41,-1.669,-0.98,-0.21,0,85,-1.28,-1.73,-0.5,-1.74,-1.75,-1.57,-1.18,2.211,1015.47,-1.07,-2.23,-0.4,-6.09,-18,1571,0.13,-0.25,0.124,29,-0.34,-2.27,0.23
-0.43,-0.42,0.28,0.082,0.082,-0.048,-0.048,0.539,-0.219,-106,-1.69,-1.69,1.27,-1.466,-0.47,-0.09,0,584,-1.01,1.26,0.25,-1.79,-1.27,-1.11,-0.84,1.014,1015.51,-0.85,-1.77,-1.99,-6.61,-46,1287,0.8,-0.13,0.213,30,-0.23,-2.23,1.31
-0.46,-0.41,0.21,0.083,0.083,-0.061,-0.061,-0.802,-0.873,-74,-1.69,-1.7,3.01,-1.093,1.38,-0.05,0,3985,-1.58,-0.87,-1.23,-1.65,-1.01,-0.9,-1.26,-0.336,1016.23,-0.54,-2.93,-0.82,-7.11,276,1341,3.14,-0.18,0.293,31,-0.16,-2.12,1.8
-0.45,-0.47,1.21,0.083,0.083,0.015,0.015,-0.851,-0.631,-34,-0.96,-0.97,0.52,-0.967,1.87,-0.32,16,1506,-1.28,-0.28,-0.19,-0.88,-0.97,-0.65,-1.25,-0.236,1012.76,-0.42,-0.7,0.79,-6.51,1045,1209,0.91,-0.16,0.316,32,-0.34,-2.62,1.08
-0.38,-0.5,1.26,0.084,0.084,0.004,0.004,0.358,-0.637,-18,-0.95,-0.95,-0.32,-1.018,0.98,-0.13,24.25,2418,-1.33,1.51,0.39,-1.17,-0.98,-0.89,-1.49,0.17,1012.62,-0.39,-2.14,-1,-3.82,509,986,1.26,-0.06,0.564,33,-0.51,-0.52,1.36
-0.34,-0.45,1.27,0.086,0.086,-0.096,-0.096,-0.379,-0.35,-45,-1.27,-1.27,0.04,-0.614,-0.88,-0.2,12.75,196,-1.31,0.78,1.43,-1.02,-1.03,-0.81,-1.63,-2.54,1010.76,-0.44,-1.36,0.7,-2.39,170,999,0.1,-0.18,0.69,34,-0.54,-2.14,1.45
-0.35,-0.29,1.87,0.088,0.088,0.074,0.074,-0.515,-0.167,-18,-1.12,-1.12,-1.72,-1.177,-0.39,-0.33,0,4,-1.26,0.78,-1.46,-1.8,-1.23,-1.24,-1.7,0.483,1016.37,-0.6,-2.46,-1.74,-2.18,2,1019,0.16,-0.09,0.993,35,-0.46,-0.82,-0.37
-0.4,-0.09,3.03,0.089,0.089,0.083,0.083,-1.928,0.451,-63,-1.61,-1.61,-2.31,-0.904,,-0.2,0,83,-0.89,-1.88,-1.03,-1.09,-1.31,-1.08,-1.4,-1.545,1007.97,-0.8,-0.76,-0.28,-3.31,-2,1011,0.08,0.18,1.239,36,-0.92,-0.32,0.07
-0.46,-0.08,2.14,0.089,0.089,0.097,0.097,-0.085,0.306,-105,-1.13,-1.14,-0.74,-0.673,-0.81,-0.44,0,34,-0.91,0.82,-0.42,-0.46,-1.3,-0.87,-1.1,2.702,1008.32,-0.82,-1.54,-1.18,-6.01,2,1079,1.22,0.06,1.315,37,-0.98,-0.17,-0.07
-0.49,-0.12,0.94,0.087,0.087,-0.007,-0.007,-0.4,-0.438,-94,-0.69,-0.7,-1.66,-0.534,-1.32,-0.49,0,12,-0.8,0.93,0.35,-0.91,-1.04,-0.76,-1.11,1.878,1011.16,-0.54,-1.06,-2.11,-5.32,2,1019,0.5,-0.17,1.461,38,-0.7,-0.3,-0.58
-0.5,-0.08,2.29,0.086,0.086,0.007,0.007,-1.934,0.298,-203,-0.24,-0.23,0.11,-0.891,0.2,-0.19,0,108,-0.89,-2.01,-1.47,-0.75,-0.38,-0.33,-0.58,3.103,1015.69,-0.17,-1.9,-1.09,-1.93,37,1025,0.53,-0.07,1.59,39,-0.87,-0.93,-0.29
-0.42,0.03,3.63,0.085,0.085,0.163,0.163,-0.776,1.184,-42,0.33,0.32,-2.31,-0.108,0.02,-0.09,0,68,-0.43,-0.45,-0.38,-0.25,-0.23,-0.21,-0.42,-3.88,1011.91,0.18,-0.36,0.47,0.91,-23,1271,1.31,0.17,1.457,40,-0.51,-0.7,-0.19
-0.28,0.08,3.7,0.084,0.084,0.167,0.167,-0.863,0.775,-121,0.71,0.7,0.93,0.183,-0.04,0,6.5,93,0.02,-2.11,-0.5,0.17,-0.01,-0.18,0.26,-2.213,1012.74,0.36,-0.25,1.19,2.26,119,1686,0.79,0.14,1.615,41,-0.37,-0.93,0.7
-0.11,0.03,3.85,0.081,0.081,0.284,0.284,-0.918,1.146,85,0.19,0.19,1.91,0.589,-0.62,-0.17,0,1218,0.11,-1.16,-1.35,1.49,0,0.04,0.08,-0.903,1014.2,0.58,-1.09,-0.54,-0.3,-40,1617,0.18,0.17,1.627,42,-0.26,-0.56,0.1
0.02,-0.05,2.87,0.082,0.082,0.416,0.416,0.09,1.918,-74,1.33,1.32,-0.86,1.192,0.98,-0.16,0,2536,0.81,1.1,1.39,1.86,0.3,0.62,0.23,-0.336,1017.91,0.7,0.7,-0.44,-2.7,-29,1163,1.6,0.41,1.521,43,-0.11,-0.07,0.88
0.06,-0.12,0.98,0.082,0.082,0.298,0.298,-0.377,0.826,-80,1.01,1,-3.26,1.115,0.41,0.05,7,1880,0.33,0.85,-0.41,1.17,0.17,0.41,-0.26,-0.872,1016.23,0.89,-1.37,0.02,-5.31,237,1098,3.8,0.2,1.493,44,0.05,2.23,0.73
0.08,-0.22,-0.04,0.083,0.083,0.244,0.244,-0.818,0.148,-101,1.1,1.1,-0.26,0.67,1.42,-0.04,15.5,746,0.4,-0.22,-1.18,0.56,0.51,0.46,-0.12,-1.36,1012.42,0.99,-0.08,-0.08,-5.92,474,1178,0.36,0.15,1.255,45,0.05,1.5,-3.45
0.05,-0.27,-0.97,0.083,0.083,0.253,0.253,-0.213,0.231,-98,1.15,1.14,0.59,0.995,-0.11,0.03,4.25,627,0.73,-0.13,2.54,0.72,0.49,0.6,-0.22,0.21,1011.47,1.15,-0.32,0.43,-4.59,720,1060,1.09,0.09,0.799,46,0.03,1.55,-0.47
0.09,-0.35,-1.19,0.082,0.082,0.169,0.169,-0.069,-0.009,109,0.91,0.91,0.48,0.958,0.62,0,0,120,0.78,-0.97,-0.54,0.68,0.55,0.8,-0.04,-1.165,1009.47,1.04,-0.28,0.21,-3.65,83,1044,0.86,-0.03,0.492,47,-0.08,1.09,0.62
0.15,-0.41,-2.02,0.083,0.083,0.169,0.169,1.987,0.05,88,0.83,0.83,0.04,0.616,,0.15,1,0,0.69,2.54,1.13,0.02,0.31,0.61,0.04,-0.464,1013.85,0.81,-1.68,-1.59,-3.98,-3,1024,1.52,-0.07,0.294,48,0,0.01,0.2
0.19,-0.42,-2.89,0.082,0.082,0.166,0.166,0.368,-0.373,-60,0.64,0.63,-1.07,0.357,1.59,0.07,0,4,0.4,0.92,0.57,-0.21,0.13,0.14,-0.04,-1.444,1010.38,0.53,-2.01,-3.19,-6.8,-4,954,1.44,-0.41,0.168,49,0.06,-0.07,1.43
0.18,-0.35,-1.44,0.083,0.083,0.177,0.177,-1.747,0.258,-54,0.56,0.56,-1.46,0.562,-1.09,0.1,0,78,0.12,0.15,-1.38,-0.08,-0.01,-0.04,-0.16,2.156,1007.72,0.37,-0.46,0.08,-7.71,-6,862,0.45,-0.15,-0.293,50,-0.01,-0.26,0.88
0.16,-0.24,0.92,0.084,0.084,0.225,0.225,-1.859,0.778,111,0.07,0.07,0.16,0.113,-2.13,-0.15,0,17,0.04,-1.14,-1.97,-0.41,-0.11,-0.15,-0.34,1.74,1014.06,0.34,-0.63,-0.69,-6.99,-13,785,1.68,-0.02,-0.368,51,-0.08,-0.31,0.06
0.19,-0.2,1.13,0.084,0.084,0.185,0.185,0.539,0.3,20,0.71,0.7,0.12,0.394,-2.44,-0.05,0,48,0.11,2.79,0.95,-1.1,-0.02,-0.31,-0.16,-1.652,1013.69,0.29,-1.05,0.89,-5.68,-35,840,1.66,0.04,-0.374,52,-0.08,0.35,0.28
0.18,-0.12,2.09,0.084,0.084,0.175,0.175,-0.774,0.784,-46,-0.5,-0.51,0.24,-0.125,0.06,-0.12,0,86,-0.27,-0.94,-0.99,-0.93,-0.14,-0.61,-0.25,0.535,1015.81,0.2,-1,-0.79,-4.76,81,809,0.5,0.13,-0.567,53,-0.19,0.24,0.93
0.16,-0.11,3.27,0.085,0.085,0.377,0.377,-0.441,1.679,-96,-0.74,-0.75,-0.4,-0.507,-0.25,-0.08,0,1691,-0.7,0.02,-0.1,-1.2,-0.54,-0.92,-0.47,0.015,1014.48,0,-1.43,0.53,-6,-23,848,0.7,0.28,-0.718,54,0.07,0.85,1.08
0.12,-0.15,2.36,0.087,0.087,0.366,0.366,0.383,1.592,-84,-0.54,-0.54,-1.26,-0.681,1.3,0.08,0,3401,-0.6,-0.79,-0.06,-1.23,-0.76,-0.99,-0.77,-0.538,1018.43,-0.08,-1.25,-1.57,-7.6,273,888,1.88,0.17,-0.702,55,-0.07,-0.16,-1.02
0.11,-0.21,2.04,0.089,0.089,0.398,0.398,-0.03,1.618,-37,-0.12,-0.13,-0.95,-0.241,1.35,0.12,1.75,1958,-0.46,-1.05,-0.49,-1.11,-0.56,-0.68,-0.79,1.034,1016.99,0,-0.6,0.77,-8.15,355,933,2.1,0.16,-0.703,56,-0.01,2.42,-1.43
0.08,-0.22,2.24,0.092,0.092,0.356,0.356,-0.383,1.366,-87,-0.03,-0.03,-1.68,-0.321,0.35,0.12,8.75,572,-0.49,-3.02,-0.38,-1.36,-0.36,-0.64,-0.37,0.375,1014.38,0.15,-0.89,0.4,-5.73,904,815,1,0.37,-0.704,57,-0.04,2.44,-1.94
0.06,-0.12,2.08,0.094,0.094,0.348,0.348,-0.437,1.126,-8,-0.06,-0.07,-0.42,-0.058,1.1,-0.04,5,242,-0.52,0.42,-0.28,-0.65,-0.46,-0.62,-0.7,0.623,1012.42,0.1,-0.35,1.05,-2.96,104,828,0,0.26,-0.449,58,-0.08,1.73,1.39
-0.02,0,2.25,0.095,0.095,0.244,0.244,-1.891,0.999,-59,-0.02,-0.03,-1.55,-0.418,-0.62,-0.2,0,0,-0.51,-1.51,-1.32,-0.82,-0.78,-1.03,-0.54,1.179,1008.9,0.04,-0.76,0.77,-0.51,0,834,1.83,0.28,-0.566,59,0,1.05,0.61
-0.12,0.17,3.63,0.095,0.095,0.334,0.334,-1.827,1.744,-30,0.41,0.41,-0.26,-0.368,,-0.05,0,35,-0.18,-0.31,-0.49,-0.5,-0.39,-0.56,-0.69,-2.297,1003.78,0.15,0.04,0.63,-1.65,2,857,0.82,0.55,-0.167,60,-0.14,-0.05,0.71
-0.15,0.23,3.16,0.096,0.096,0.259,0.259,-1.036,1.747,-80,0.18,0.17,0.84,0.274,0.24,0.06,0,150,0.37,-0.02,-0.12,-0.44,0.2,0.06,-0.34,1.742,1002.53,0.4,-0.57,0.18,-2.94,-2,832,0.28,0.46,-0.027,61,-0.15,-0.17,-1.24
-0.08,0.01,2.8,0.097,0.097,0.179,0.179,-0.249,1.423,-73,0.51,0.5,-0.25,0.476,-1.51,0.05,0,6,0.21,0.54,-1,0.17,0.24,0.22,-0.22,7.614,1008.16,0.6,-0.07,1.04,-2.68,12,728,0.62,0.41,0.15,62,-0.25,-0.12,1.38
